label,text
120,"Chemist: Analyzes substances and develops new chemical compounds."
121,"Police officer: Enforces laws and maintains public safety."
121,"Detective: Investigates crimes and gathers evidence for legal cases."
121,"Security guard: Protects property and individuals from theft or harm."
121,"Forensic analyst: Examines evidence from crime scenes to assist investigations."
122,"Firefighter: Responds to emergencies and extinguishes fires."
122,"Fire inspector: Inspects buildings to ensure compliance with fire safety regulations."
122,"Paramedic: Provides emergency medical care and transports patients to hospitals."
122,"Rescue diver: Performs underwater search and rescue operations."
123,"Pilot: Operates aircraft to transport passengers or cargo."
123,"Flight attendant: Ensures passenger safety and comfort during flights."
123,"Air traffic controller: Manages the movement of aircraft in the air and on the ground."
123,"Aircraft engineer: Maintains and repairs aircraft systems and components."
124,"Actor: Performs roles in theater, film, or television productions."
124,"Director: Oversees the creative aspects of a film, play, or television show."
124,"Screenwriter: Writes scripts for movies, television shows, or plays."
124,"Stage manager: Coordinates all aspects of a theater production."
125,"Musician: Performs music as a soloist or part of a band or orchestra."
125,"Composer: Creates original music for performances or recordings."
125,"Sound engineer: Operates equipment to record, mix, and produce audio."
125,"Music teacher: Teaches students how to play instruments or understand music theory."
126,"Athlete: Competes in sports at a professional or amateur level."
126,"Coach: Trains and mentors athletes to improve their performance."
126,"Sports analyst: Analyzes and provides commentary on sports events."
126,"Referee: Enforces rules and ensures fair play during sports competitions."
127,"Fashion designer: Creates clothing and accessories for production or custom orders."
127,"Tailor: Alters and repairs clothing to fit customers."
127,"Textile designer: Designs patterns and fabrics for clothing and home decor."
127,"Stylist: Advises clients on clothing and personal appearance."
128,"Real estate agent: Assists clients in buying, selling, or renting properties."
128,"Property manager: Oversees the maintenance and leasing of rental properties."
128,"Home inspector: Evaluates the condition of properties before purchase."
128,"Appraiser: Determines the value of properties for sale or insurance purposes."
129,"Event planner: Organizes and coordinates events such as weddings and conferences."
129,"Wedding coordinator: Manages all aspects of wedding planning and execution."
129,"Catering manager: Oversees food and beverage services for events."
129,"Venue manager: Manages the operations of event spaces and facilities."
130,"Veterinarian: Provides medical care for animals."
130,"Vet technician: Assists veterinarians in treating and caring for animals."
130,"Animal trainer: Trains animals for obedience, performance, or service roles."
130,"Zookeeper: Cares for animals in zoos and educates visitors about wildlife."
131,"Social worker: Supports individuals and families in overcoming challenges."
131,"Counselor: Provides guidance and support for mental health and personal issues."
131,"Psychologist: Diagnoses and treats mental health conditions."
131,"Therapist: Offers therapy sessions to help clients improve their well-being."
132,"Entrepreneur: Starts and manages their own business ventures."
132,"Business consultant: Advises companies on strategies to improve operations."
132,"Marketing manager: Develops and implements marketing strategies for businesses."
132,"Sales representative: Sells products or services to customers."
133,"Logistics manager: Oversees the transportation and storage of goods."
133,"Supply chain analyst: Optimizes the flow of goods and materials in a supply chain."
133,"Warehouse supervisor: Manages warehouse operations and staff."
133,"Delivery driver: Transports goods to customers or businesses."
134,"Software tester: Tests software applications for bugs and usability issues."
134,"DevOps engineer: Manages software development and IT operations processes."
134,"Cloud architect: Designs and implements cloud computing solutions."
134,"Cybersecurity analyst: Protects systems and data from cyber threats."
135,"Research assistant: Supports researchers in conducting studies and experiments."
135,"Statistician: Analyzes data to identify trends and make predictions."
135,"Economist: Studies economic data to understand and forecast market trends."
135,"Policy analyst: Evaluates policies and their impact on society."
136,"HR manager: Oversees recruitment, training, and employee relations."
136,"Recruiter: Finds and hires candidates for job openings."
136,"Training coordinator: Organizes and delivers employee training programs."
136,"Payroll specialist: Manages employee compensation and benefits."
137,"Chef de cuisine: Leads the kitchen team in a restaurant."
137,"Sous chef: Assists the head chef in managing kitchen operations."
137,"Line cook: Prepares specific dishes or ingredients in a kitchen."
137,"Dishwasher: Cleans dishes and kitchen equipment in food establishments."
138,"Bartender: Mixes and serves drinks to customers."
138,"Barback: Assists bartenders by restocking supplies and cleaning."
138,"Sommelier: Recommends and serves wines in restaurants."
138,"Mixologist: Creates unique and innovative cocktails."
139,"Tour guide: Leads groups on tours and provides information about destinations."
139,"Travel agent: Plans and books travel arrangements for clients."
139,"Flight coordinator: Manages flight schedules and logistics for travelers."
139,"Cruise director: Organizes activities and entertainment on cruise ships."
140,"Game designer: Creates concepts and mechanics for video games."
140,"Level designer: Designs levels and environments for video games."
140,"Game tester: Tests video games for bugs and gameplay issues."
140,"3D artist: Creates 3D models and animations for games and films."
